LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
-2891.9728339933117,0.015,1.0e-12,11.7,0.105,0.16,0.93,0.85,0.99,0.8,0.06,0.6,6.75,0.0,0.9,0.35,0.25,2.6,2.9
-2892.79456137544,0.0225,1.0e-12,3.3,0.31,0.395,0.89,0.8,1.0,0.55,0.1,0.6,4.25,0.0,0.95,0.2,0.15,5.9,1.1
-2894.158658101109,0.0275,0.00015848931924611142,4.7,0.145,0.22,0.97,0.7,0.94,0.8,0.06,0.45,0.5,10.0,0.75,0.2,0.15,5.8,1.5
-2894.1943313985194,0.02,1.0e-12,5.9,0.195,0.35,0.92,0.7,0.99,0.75,0.08,0.55,3.25,0.0,1.0,0.35,0.2,3.6,1.7
-2894.864024696557,0.01,1.0e-12,10.5,0.11,0.215,0.94,0.75,0.96,0.75,0.1,0.65,2.75,0.0,0.65,0.25,0.15,3.5,2.5
-2895.794376558,0.015,1.0e-12,9.9,0.145,0.195,0.92,0.75,0.97,0.7,0.1,0.75,4.25,0.0,1.0,0.45,0.3,2.0,2.7
-2895.962636800276,0.0175,1.0e-12,12.7,0.115,0.135,0.93,0.8,0.95,0.75,0.1,0.7,5.5,0.0,1.0,0.45,0.35,1.6,3.3
-2896.3001734509203,0.01,1.584893192461114e-5,5.9,0.1,0.195,0.97,0.75,0.94,0.75,0.08,0.6,3.75,10.0,0.7,0.4,0.2,5.4,1.5
-2896.36551180207,0.0325,1.0e-12,9.5,0.115,0.24,0.96,0.75,0.96,0.7,0.04,0.5,2.25,0.0,0.65,0.3,0.15,3.9,2.7
-2896.5563777537686,0.0175,1.0e-12,10.3,0.115,0.165,0.95,0.7,0.95,0.9,0.08,0.65,4.0,0.0,0.75,0.4,0.25,2.9,2.7
-2896.763860328923,0.01,1.0e-12,6.7,0.18,0.075,0.99,0.75,0.92,0.75,0.06,0.7,2.25,0.0,0.85,0.2,0.4,5.2,1.5
-2896.962892996594,0.0125,1.0e-12,11.5,0.125,0.19,0.97,0.6,0.91,0.8,0.1,0.7,1.0,0.0,1.0,0.4,0.3,1.9,2.7
